user_id,history_item_title,item_title,history_item_id,item_id,history_item_sid,item_sid
A6196,"['16X150mm Glass Test Tubes with Rubber Stoppers, Karter Scientific 201B5 (Pack of 10)', 'SEOH 4 inch Glass Pipette Droppers (pack of 12)']","Karter Scientific 208U2 Plastic Test Tube Rack for 15/17 mm Tubes, Holds 50, Detachable","[3603, 468]",3117,"['<a_94><b_234><c_183>', '<a_150><b_97><c_199>']",<a_94><b_228><c_110>
A421,"['Stanley 83-069M Maxsteel Multi-Angle Base Vise', '3M Scotch 2120-A Tough Transparent Duct Tape, 1.8-Inch, 20 yds', '3M  Pro Strength Duct Tape, 1260-A, 1.88  Inches by 60 Yards']","3M  Pro Strength Duct Tape, 1260-A, 1.88  Inches by 60 Yards","[1413, 200, 553]",553,"['<a_24><b_90><c_58>', '<a_206><b_9><c_216>', '<a_202><b_66><c_28>']",<a_202><b_66><c_28>
A3702,"['6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 1/4"" Diameter, 60"" Length', '6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 2-1/4"" Diameter, 12"" Length', '6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 0.5"" Diameter, 96"" Length', '6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 1-5/8"" Diameter, 24"" Length', '6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 2"" Diameter, 12"" Length']","6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 1/2"" Diameter, 24"" Length","[1154, 1153, 1155, 1156, 1157]",1158,"['<a_251><b_198><c_114>', '<a_251><b_198><c_140>', '<a_251><b_198><c_9>', '<a_251><b_198><c_132>', '<a_251><b_198><c_238>']",<a_251><b_198><c_188>
A7042,"['HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Purple', 'Vktech New Universal 160 Full Range 1-14 pH Test Paper Strips Litmus Testing Kit N', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Yellow', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Silver', 'HATCHBOX PETG 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red']",[3D CAM] 2 PCS Flexible Couplings 5mm to 8mm NEMA 17 Shaft for RepRap 3D Printer or CNC Machine,"[1849, 479, 50, 1847, 1851, 2507, 3670]",2385,"['<a_223><b_20><c_233>', '<a_94><b_166><c_141>', '<a_223><b_198><c_36>', '<a_223><b_20><c_170>', '<a_223><b_198><c_9>', '<a_223><b_198><c_173>', '<a_223><b_72><c_76>']",<a_158><b_42><c_223>
A6983,"['Octave Kapton Tape for 3D Printer Platform 6"" x 100\'', 'HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Orange']","HATCHBOX 3D ABS-1KG1.75-BLU ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue","[3517, 2582]",2419,"['<a_197><b_119><c_32>', '<a_223><b_198><c_44>']",<a_223><b_198><c_3>
A3869,"['Stainless Steel Phillips Pan Sheet Metal Screw Assortment Kit', '42 Piece Marine Heat Shrink Tubing Assortment Kit', 'HDPE (High Density Polyethylene) Sheet, Opaque Off-White, Standard Tolerance, ASTM D4976-245, 0.125"" Thickness, 12"" Width, 24"" Length']","HDPE (High Density Polyethylene) Sheet, Opaque Off-White, Standard Tolerance, ASTM D4976-245, 0.250"" Thickness, 12"" Width, 12"" Length","[615, 1291, 499]",500,"['<a_224><b_222><c_138>', '<a_228><b_244><c_7>', '<a_79><b_114><c_225>']",<a_17><b_62><c_235>
A898,"['FiiO D3 (D03K) Digital to Analog Audio Converter With Micca 6ft Optical Toslink Cable - 192kHz/24bit Optical and Coaxial DAC', 'Eagle 1654 Yellow Blow-Molded HDPE Salvage Drum with Metal Ring Lever-Lock Lid, 20 gallon Capacity, 21"" Height, 21"" Diameter']","PAC Strapping SP-P-AMZ Plastic Strapping Kit, 3000' Length x 1/2"" Wide, 300 Plastic Buckles & Tensioner Tool, Black","[1072, 72]",925,"['<a_36><b_92><c_177>', '<a_206><b_120><c_196>']",<a_68><b_61><c_120>
A3033,"['1 X Hydrometer - Triple Scale', 'Science Purchase Disposable Luer-Slip Tip 3mL Syringe, Sterile without Needle, 100 Count', 'Stainless Steel 304 Cast Pipe Fitting, Hex Locknut, MSS SP-114, 1/2"" NPT Female', 'Heathrow Scientific HD15909 Spatula with Flat End and Spoon End, 9"" Overall Length']","Pyrex 1003-250CN Heavy Duty Griffin 1003 250mL Beaker Double Scale Grad, Glass","[96, 191, 3433, 2410]",1490,"['<a_94><b_95><c_39>', '<a_150><b_109><c_100>', '<a_108><b_146><c_77>', '<a_180><b_221><c_238>']",<a_94><b_172><c_115>
A1087,"['Steelex D2608 3-Inch 150-Pound Swivel Double Lock Polyurethane Plate Caster', 'Watersafe WS425W Well Water Test Kit', 'Break-Free CLP-4 Cleaner Lubricant Preservative Squeeze Bottle (4 -Fluid Ounce)', 'J-B Weld 8265S Original Cold-Weld Steel Reinforced Epoxy - 2 oz.', '25-Pack 7/64"" Stainless Steel Screw Eye Rings', 'Enkay 140-BL  1-Pound Black Emery Compound, Carded']",MEECO'S RED DEVIL 110 Gasket Cement and Stove Sealer,"[349, 549, 340, 675, 82, 2002]",2449,"['<a_87><b_44><c_137>', '<a_197><b_216><c_1>', '<a_173><b_23><c_0>', '<a_165><b_59><c_69>', '<a_159><b_64><c_238>', '<a_52><b_7><c_0>']",<a_79><b_9><c_0>
A901,"['Dremel EZ407SA EZ Drum Sanding Band and Mandrel', 'Dixon FBVG100 Brass Ball Valve, 1"" NPT Female']","Scotch Heavy Duty Shipping Packaging Tape, 3"" Core, 1.88"" x 54.6 Yards, 6-Rolls (3850-6)","[112, 857]",77,"['<a_193><b_12><c_43>', '<a_108><b_83><c_114>']",<a_202><b_162><c_47>
